State,County,Median of housing price
Alabama,Baldwin County,304600
Alabama,Calhoun County,148100
Alabama,Cullman County,184800
Alabama,DeKalb County,157700
Alabama,Elmore County,204700
Alabama,Etowah County,167400
Alabama,Houston County,181800
Alabama,Jefferson County,237200
Alabama,Lauderdale County,188300
Alabama,Lee County,263900
Alabama,Limestone County,284800
Alabama,Madison County,295400
Alabama,Marshall County,186200
Alabama,Mobile County,180300
Alabama,Montgomery County,167000
Alabama,Morgan County,207400
Alabama,St. Clair County,225900
Alabama,Shelby County,322800
Alabama,Talladega County,138500
Alabama,Tuscaloosa County,256200
Alaska,Anchorage Municipality,367900
Alaska,Fairbanks North Star Borough,307600
Alaska,Matanuska-Susitna Borough,329000
Arizona,Apache County,66900
Arizona,Cochise County,212900
Arizona,Coconino County,459300
Arizona,Maricopa County,466700
Arizona,Mohave County,290800
Arizona,Navajo County,214700
Arizona,Pima County,317000
Arizona,Pinal County,363300
Arizona,Yavapai County,434700
Arizona,Yuma County,250400
Arkansas,Benton County,306900
Arkansas,Craighead County,212500
Arkansas,Faulkner County,216600
Arkansas,Garland County,197100
Arkansas,Jefferson County,95500
Arkansas,Lonoke County,184100
Arkansas,Pulaski County,203900
Arkansas,Saline County,207700
Arkansas,Sebastian County,170800
Arkansas,Washington County,278900
Arkansas,White County,154300
California,Alameda County,1092500
California,Butte County,412700
California,Contra Costa County,865800
California,El Dorado County,654000
California,Fresno County,382500
California,Humboldt County,429500
California,Imperial County,293200
California,Kern County,330000
California,Kings County,299400
California,Lake County,300200
California,Los Angeles County,805600
California,Madera County,396100
California,Marin County,1466500
California,Mendocino County,483400
California,Merced County,388300
California,Monterey County,732500
California,Napa County,866300
California,Nevada County,633300
California,Orange County,940900
California,Placer County,682000
California,Riverside County,555400
California,Sacramento County,536600
California,San Benito County,801200
California,San Bernardino County,504400
California,San Diego County,846600
California,San Francisco County,1343700
California,San Joaquin County,535800
California,San Luis Obispo County,776400
California,San Mateo County,1586500
California,Santa Barbara County,744700
California,Santa Clara County,1475500
California,Santa Cruz County,1013900
California,Shasta County,355100
California,Solano County,605300
California,Sonoma County,771000
California,Stanislaus County,450700
California,Sutter County,433100
California,Tehama County,342100
California,Tulare County,320500
California,Ventura County,796300
California,Yolo County,591800
California,Yuba County,430400
Colorado,Adams County,483200
Colorado,Arapahoe County,549200
Colorado,Boulder County,743700
Colorado,Broomfield County,644200
Colorado,Denver County,599500
Colorado,Douglas County,706800
Colorado,El Paso County,464300
Colorado,Jefferson County,636200
Colorado,Larimer County,540400
Colorado,Mesa County,373500
Colorado,Pueblo County,293400
Colorado,Weld County,456100
Connecticut,Capitol Planning Region,300000
Connecticut,Greater Bridgeport Planning Region,406100
Connecticut,Lower Connecticut River Valley Planning Region,362800
Connecticut,Naugatuck Valley Planning Region,297700
Connecticut,Northeastern Connecticut Planning Region,295300
Connecticut,Northwest Hills Planning Region,315500
Connecticut,South Central Connecticut Planning Region,332200
Connecticut,Southeastern Connecticut Planning Region,307500
Connecticut,Western Connecticut Planning Region,624700
Delaware,Kent County,308100
Delaware,New Castle County,330900
Delaware,Sussex County,382700
District of Columbia,District of Columbia,711100
Florida,Alachua County,280500
Florida,Bay County,312800
Florida,Brevard County,336800
Florida,Broward County,393900
Florida,Charlotte County,342700
Florida,Citrus County,239700
Florida,Clay County,308000
Florida,Collier County,541500
Florida,Columbia County,205400
Florida,Duval County,309500
Florida,Escambia County,257600
