AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,2004000,0,1000,1,,,24.34,50620,0.2,10.38,13.48,18.5,28.94,43.25,21580,28030,38470,60190,89950,,
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,104280,1,52.034,0.78,,,53.13,110500,0.8,22.92,31.83,46.12,63.53,86.89,47680,66210,95940,132150,180730,,
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,13-0000,Business and Financial Operations Occupations,major,95760,1.7,47.783,0.73,,,36.77,76490,0.6,18.73,23.85,31.57,45.02,59.57,38950,49610,65670,93650,123910,,
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,15-0000,Computer and Mathematical Occupations,major,51990,1.9,25.942,0.77,,,44.44,92440,1.2,21.09,29.53,40.91,56.21,71.11,43870,61420,85100,116920,147910,,
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,17-0000,Architecture and Engineering Occupations,major,45670,1.3,22.791,1.36,,,47.07,97910,1.7,22.74,30.91,42.08,59.64,74.41,47290,64280,87530,124060,154780,,
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,19-0000,"Life, Physical, and Social Science Occupations",major,11760,1.8,5.87,0.66,,,33.56,69810,1,18.26,22.88,30.05,40,52.47,37970,47590,62500,83190,109140,,
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,21-0000,Community and Social Service Occupations,major,20940,1.7,10.451,0.67,,,22.6,47000,0.7,13.22,17.08,21.29,28.47,33.84,27500,35520,44290,59210,70390,,
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,23-0000,Legal Occupations,major,11360,2.6,5.668,0.69,,,48.23,100320,4.2,17.56,23.44,36.23,63.39,95.02,36510,48760,75360,131860,197640,,
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,25-0000,Educational Instruction and Library Occupations,major,100800,1.2,50.3,0.88,,,25.93,53940,0.7,10.03,18.16,24.34,29.52,37.33,20860,37770,50630,61400,77650,,
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,18110,2,9.036,0.65,,,24.99,51980,1.4,11.21,14.61,20.7,29.87,40.62,23310,30390,43050,62130,84500,,
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,29-0000,Healthcare Practitioners and Technical Occupations,major,133250,0.9,66.493,1.09,,,36.15,75180,0.8,15.16,21.7,28.75,37.88,61.49,31530,45140,59810,78780,127890,,
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,31-0000,Healthcare Support Occupations,major,67900,1.4,33.884,0.74,,,14.29,29720,0.5,9.93,11.07,13.55,16.15,18.89,20660,23020,28180,33590,39300,,
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,33-0000,Protective Service Occupations,major,48500,2.6,24.203,1.04,,,19.77,41120,0.9,10.55,13.17,17.46,24.4,30.96,21950,27400,36320,50740,64390,,
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,35-0000,Food Preparation and Serving Related Occupations,major,166380,0.7,83.026,0.98,,,12.26,25500,0.8,8.73,9.79,10.82,13.62,17.18,18160,20370,22510,28340,35740,,
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,52860,1.2,26.379,0.9,,,14.19,29510,0.7,9.16,10.62,13.22,16.43,20.58,19050,22090,27490,34180,42810,,
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,39-0000,Personal Care and Service Occupations,major,32080,1.6,16.007,0.83,,,14.37,29900,1,8.74,10.13,12.38,16.9,22.65,18180,21070,25740,35140,47110,,
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,41-0000,Sales and Related Occupations,major,195630,1,97.618,1.1,,,19.35,40240,1.1,9,10.77,13.94,21.65,35.44,18720,22410,28990,45040,73710,,
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,43-0000,Office and Administrative Support Occupations,major,235060,0.6,117.296,0.93,,,18.6,38680,0.2,11.23,13.95,17.35,22,28,23370,29020,36090,45760,58240,,
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,45-0000,"Farming, Fishing, and Forestry Occupations",major,6750,4.6,3.369,1.08,,,18.43,38340,1.9,11.13,13.82,16.57,22.13,29.01,23160,28750,34470,46030,60340,,
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,47-0000,Construction and Extraction Occupations,major,87430,1.2,43.63,1.06,,,21.83,45410,0.5,13.34,15.62,19.48,25.29,32.14,27740,32480,40510,52610,66840,,
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,49-0000,"Installation, Maintenance, and Repair Occupations",major,103000,0.8,51.396,1.31,,,25.7,53460,0.4,14,17.81,23.53,31.01,39.39,29120,37040,48950,64500,81940,,
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,51-0000,Production Occupations,major,204650,0.8,102.121,1.73,,,19.97,41530,0.4,11.52,14.01,17.74,23.45,30.85,23950,29140,36900,48770,64160,,
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,53-0000,Transportation and Material Moving Occupations,major,209820,0.9,104.703,1.14,,,18.35,38160,0.5,10.55,13.41,16.58,21.72,28.89,21950,27880,34480,45180,60090,,
2,Alaska,2,AK,0,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,306110,0,1000,1,,,31.79,66130,0.3,14.2,17.71,25,38.44,53.43,29540,36830,52000,79940,111140,,
2,Alaska,2,AK,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,22610,1.2,73.875,1.11,,,56.74,118020,1,25.09,36.01,49.54,65.5,94.5,52190,74900,103050,136240,196560,,
