Geography,Geographic Area Name,Estimate!!Median value (dollars),Margin of Error!!Median value (dollars)
0500000US01003,"Baldwin County, Alabama",304600,18879
0500000US01015,"Calhoun County, Alabama",148100,13290
0500000US01043,"Cullman County, Alabama",184800,27909
0500000US01049,"DeKalb County, Alabama",157700,10736
0500000US01051,"Elmore County, Alabama",204700,18078
0500000US01055,"Etowah County, Alabama",167400,14438
0500000US01069,"Houston County, Alabama",181800,11444
0500000US01073,"Jefferson County, Alabama",237200,11713
0500000US01077,"Lauderdale County, Alabama",188300,20014
0500000US01081,"Lee County, Alabama",263900,11892
0500000US01083,"Limestone County, Alabama",284800,13833
0500000US01089,"Madison County, Alabama",295400,8185
0500000US01095,"Marshall County, Alabama",186200,21499
0500000US01097,"Mobile County, Alabama",180300,8627
0500000US01101,"Montgomery County, Alabama",167000,10498
0500000US01103,"Morgan County, Alabama",207400,18210
0500000US01115,"St. Clair County, Alabama",225900,16364
0500000US01117,"Shelby County, Alabama",322800,10487
0500000US01121,"Talladega County, Alabama",138500,27214
0500000US01125,"Tuscaloosa County, Alabama",256200,11884
0500000US02020,"Anchorage Municipality, Alaska",367900,10111
0500000US02090,"Fairbanks North Star Borough, Alaska",307600,19512
0500000US02170,"Matanuska-Susitna Borough, Alaska",329000,11398
0500000US04001,"Apache County, Arizona",66900,9110
0500000US04003,"Cochise County, Arizona",212900,13244
0500000US04005,"Coconino County, Arizona",459300,34131
0500000US04013,"Maricopa County, Arizona",466700,3791
0500000US04015,"Mohave County, Arizona",290800,12830
0500000US04017,"Navajo County, Arizona",214700,15314
0500000US04019,"Pima County, Arizona",317000,5731
0500000US04021,"Pinal County, Arizona",363300,7688
0500000US04025,"Yavapai County, Arizona",434700,16393
0500000US04027,"Yuma County, Arizona",250400,11836
0500000US05007,"Benton County, Arkansas",306900,12876
0500000US05031,"Craighead County, Arkansas",212500,12747
0500000US05045,"Faulkner County, Arkansas",216600,15702
0500000US05051,"Garland County, Arkansas",197100,23702
0500000US05069,"Jefferson County, Arkansas",95500,19066
0500000US05085,"Lonoke County, Arkansas",184100,16645
0500000US05119,"Pulaski County, Arkansas",203900,9052
0500000US05125,"Saline County, Arkansas",207700,14461
0500000US05131,"Sebastian County, Arkansas",170800,10315
0500000US05143,"Washington County, Arkansas",278900,12574
0500000US05145,"White County, Arkansas",154300,15033
0500000US06001,"Alameda County, California",1092500,16214
0500000US06007,"Butte County, California",412700,20406
0500000US06013,"Contra Costa County, California",865800,13993
0500000US06017,"El Dorado County, California",654000,23282
0500000US06019,"Fresno County, California",382500,7319
0500000US06023,"Humboldt County, California",429500,28710
0500000US06025,"Imperial County, California",293200,14887
0500000US06029,"Kern County, California",330000,6486
0500000US06031,"Kings County, California",299400,20375
0500000US06033,"Lake County, California",300200,32523
0500000US06037,"Los Angeles County, California",805600,5475
0500000US06039,"Madera County, California",396100,21078
0500000US06041,"Marin County, California",1466500,81852
0500000US06045,"Mendocino County, California",483400,30653
0500000US06047,"Merced County, California",388300,9615
0500000US06053,"Monterey County, California",732500,22926
0500000US06055,"Napa County, California",866300,33337
0500000US06057,"Nevada County, California",633300,26538
0500000US06059,"Orange County, California",940900,7930
0500000US06061,"Placer County, California",682000,12402
0500000US06065,"Riverside County, California",555400,6032
0500000US06067,"Sacramento County, California",536600,7438
0500000US06069,"San Benito County, California",801200,30373
0500000US06071,"San Bernardino County, California",504400,9449
0500000US06073,"San Diego County, California",846600,7716
0500000US06075,"San Francisco County, California",1343700,52751
0500000US06077,"San Joaquin County, California",535800,13484
0500000US06079,"San Luis Obispo County, California",776400,27574
0500000US06081,"San Mateo County, California",1586500,35092
0500000US06083,"Santa Barbara County, California",744700,38177
0500000US06085,"Santa Clara County, California",1475500,30398
0500000US06087,"Santa Cruz County, California",1013900,43319
0500000US06089,"Shasta County, California",355100,10969
0500000US06095,"Solano County, California",605300,8446
0500000US06097,"Sonoma County, California",771000,18699
0500000US06099,"Stanislaus County, California",450700,9419
0500000US06101,"Sutter County, California",433100,23259
0500000US06103,"Tehama County, California",342100,20252
0500000US06107,"Tulare County, California",320500,8489
0500000US06111,"Ventura County, California",796300,11223
0500000US06113,"Yolo County, California",591800,24875
0500000US06115,"Yuba County, California",430400,16150
0500000US08001,"Adams County, Colorado",483200,8864
0500000US08005,"Arapahoe County, Colorado",549200,11357
0500000US08013,"Boulder County, Colorado",743700,22729
0500000US08014,"Broomfield County, Colorado",644200,19102
0500000US08031,"Denver County, Colorado",599500,12594
0500000US08035,"Douglas County, Colorado",706800,11491
0500000US08041,"El Paso County, Colorado",464300,7444
0500000US08059,"Jefferson County, Colorado",636200,9036
0500000US08069,"Larimer County, Colorado",540400,14764
0500000US08077,"Mesa County, Colorado",373500,12550
0500000US08101,"Pueblo County, Colorado",293400,9785
0500000US08123,"Weld County, Colorado",456100,7755
0500000US09110,"Capitol Planning Region, Connecticut",300000,5296
0500000US09120,"Greater Bridgeport Planning Region, Connecticut",406100,14691
0500000US09130,"Lower Connecticut River Valley Planning Region, Connecticut",362800,11665
0500000US09140,"Naugatuck Valley Planning Region, Connecticut",297700,8958
0500000US09150,"Northeastern Connecticut Planning Region, Connecticut",295300,11030
0500000US09160,"Northwest Hills Planning Region, Connecticut",315500,19603
0500000US09170,"South Central Connecticut Planning Region, Connecticut",332200,7713
0500000US09180,"Southeastern Connecticut Planning Region, Connecticut",307500,10807
0500000US09190,"Western Connecticut Planning Region, Connecticut",624700,15608
0500000US10001,"Kent County, Delaware",308100,13927
0500000US10003,"New Castle County, Delaware",330900,6909
0500000US10005,"Sussex County, Delaware",382700,10913
0500000US11001,"District of Columbia, District of Columbia",711100,21101
0500000US12001,"Alachua County, Florida",280500,13726
0500000US12005,"Bay County, Florida",312800,16317
0500000US12009,"Brevard County, Florida",336800,7021
0500000US12011,"Broward County, Florida",393900,8289
0500000US12015,"Charlotte County, Florida",342700,13304
0500000US12017,"Citrus County, Florida",239700,13827
0500000US12019,"Clay County, Florida",308000,11586
0500000US12021,"Collier County, Florida",541500,27810
0500000US12023,"Columbia County, Florida",205400,33054
0500000US12031,"Duval County, Florida",309500,7093
0500000US12033,"Escambia County, Florida",257600,12021
0500000US12035,"Flagler County, Florida",360100,10736
0500000US12053,"Hernando County, Florida",277100,8819
0500000US12055,"Highlands County, Florida",176900,14836
0500000US12057,"Hillsborough County, Florida",366900,6767
0500000US12061,"Indian River County, Florida",344400,22833
0500000US12069,"Lake County, Florida",307200,10925
0500000US12071,"Lee County, Florida",361400,6355
0500000US12073,"Leon County, Florida",287700,13070
0500000US12081,"Manatee County, Florida",398200,12251
0500000US12083,"Marion County, Florida",243200,8660
0500000US12085,"Martin County, Florida",433200,20008
0500000US12086,"Miami-Dade County, Florida",453300,5348
0500000US12087,"Monroe County, Florida",718600,51458
0500000US12089,"Nassau County, Florida",382900,20182
0500000US12091,"Okaloosa County, Florida",350800,9630
0500000US12095,"Orange County, Florida",378200,6165
0500000US12097,"Osceola County, Florida",346900,7779
0500000US12099,"Palm Beach County, Florida",439400,7353
0500000US12101,"Pasco County, Florida",306500,9278
0500000US12103,"Pinellas County, Florida",359400,6863
0500000US12105,"Polk County, Florida",267500,6605
0500000US12107,"Putnam County, Florida",149900,30369
0500000US12109,"St. Johns County, Florida",490600,17618
0500000US12111,"St. Lucie County, Florida",343900,9151
0500000US12113,"Santa Rosa County, Florida",327800,12677
0500000US12115,"Sarasota County, Florida",406700,13186
0500000US12117,"Seminole County, Florida",386300,10571
0500000US12119,"Sumter County, Florida",367200,8632
0500000US12127,"Volusia County, Florida",306200,9494
0500000US12131,"Walton County, Florida",398600,45866
0500000US13013,"Barrow County, Georgia",315900,14691
0500000US13015,"Bartow County, Georgia",288900,14943
0500000US13021,"Bibb County, Georgia",178700,12069
0500000US13031,"Bulloch County, Georgia",206200,26873
0500000US13045,"Carroll County, Georgia",262000,14116
0500000US13047,"Catoosa County, Georgia",226900,23330
0500000US13051,"Chatham County, Georgia",291400,12041
0500000US13057,"Cherokee County, Georgia",427500,11874
0500000US13059,"Clarke County, Georgia",308000,21233
0500000US13063,"Clayton County, Georgia",222800,8548
